french,english
ours,bear
prisonniers,prisoners
évidemment,obviously
afrique,Africa
allemand,German
dan,dan
couche,layer
relations,relationships
texas,Texas
delà,of the
celles,those
navire,ship
deviens,become
bite,cock
laisses,leashes
dirige,directed
partenaire,partner
aube,dawn
demi,half
affreux,awful
camarade,comrade
street,street
inquiéter,worry
tableau,painting 
fatiguée,tired
entreprise,business
demandes,requests
nana,chick
re,D
coincé,stuck
tenu,tenuous
viré,fired
suspect,suspicious
reconnais,recognize
ressens,feel
juif,Jewish
directement,directly
mexique,Mexico
cherché,look for
marine,Marine
prisonnier,prisoner
finit,ends
howard,howard
étoile,star
jean,Jeans
convaincre,convince
filer,spin
kevin,kevin
bosse,bump
pousser,push
protection,protection
signé,sign
crier,shout
rêvé,dream
respirer,breathe
propriétaire,owner
prêtre,priest
donnes,data
taire,to hush up
permettre,allow
prudent,careful
carl,carl
commis,clerk
chaîne,chain
copains,friends
sec,dry
cauchemar,nightmare
laver,wash
hollywood,Hollywood
jeff,jeff
réfléchis,think
trompe,deceived
hais,hate
immeuble,building
supporter,support
soi,self
bagages,luggage
tir,shot
traverser,to cross
commissaire,commissioner
mac,mac
donnerai,will give
reviendrai,will come back
larmes,tears
déranger,to disturb
Arthur,Arthur
pigé,caught
réserve,reserve
adam,Adam
volant,flying
uniforme,uniform
st,st
croient,believe
différents,different
souffrir,suffer
maudit,damn
valise,suitcase
prendrai,will take
assurance,insurance
abandonné,abandoned
dames,ladies
lendemain,the following day
navré,sorry
prennent,take
sénateur,senator
roule,rolled
montagnes,mountains
lapin,rabbit
juifs,Jews
amuse,amused
espérais,hoped
fleur,flower
merveilleuse,wonderful
tournée,tour
scott,scott
information,information
foyer,hearth
tourné,turned
personnage,character
permettez,allow
amitié,friendship
hâte,haste
opinion,opinion
curieux,curious
concert,concert
enfance,childhood
extraordinaire,extraordinary
davantage,any further
saviez,knew
chargé,charge
porc,pork
recommence,start again
chèque,check
piano,piano
jouez,play
océan,ocean
ayant,having
go,go
pattes,paws
ravie,delighted
trace,trace
réveillé,wake up
miles,miles
soupe,soup
sucre,sugar
écoutes,listens
vierge,virgin
mauvaises,bad
objet,object
adorable,adorable
chine,China
sonne,rings
envoyez,send
réputation,reputation
kate,kate
sport,sport
brave,brave
lieux,places
brûle,burns
russes,Russian
murs,walls
second,second
etes,are
facilement,easily
troupes,troops
titrage,titration
canon,cannon
bague,ring
bâtiment,building
seraient,would be
cellule,cell
Susan,Susan
survivre,survive
trouverai,will find
printemps,spring
voisins,neighbors
nuits,nights
chances,odds
contrôler,control
compliqué,complicated
voyais,saw
retirer,withdraw
ancienne,Ancient
théorie,theory
avancez,move forward
studio,studio
exploser,explode
explosion,blast
fiancée,fiancee
évident,obvious
gardé,guard
accusé,accused
Annie,Annie
témoins,witnesses
désir,desire
humanité,humanity
amen,Amen
magie,magic
restera,will stay
palais,palace
cirque,circus
cinglé,crazy
conduis,drive
sales,dirty
traces,traces
station,station
construire,build
joey,joey
siège,seat
Kelly,Kelly
semblait,seemed
vivants,living
voient,see
représente,represented
sombre,dark
lourd,heavy
lá,there
familles,families
égal,equal
surveille,monitors
terme,term
gêne,embarrassed
poule,chicken
pére,father
devraient,should
soif,thirsty
haine,hate
Rachel,Rachael
Jason,Jason
surveiller,to watch
ted,ted
marin,marine
procureur,prosecutor
traité,treaty
vivent,live
chansons,songs
souvenez,remember
entière,whole
résultat,result
préparé,prepared
top,top
enchantée,Nice to meet you
gardien,guardian
traite,treaty
avancer,move forward
commun,common
pêche,fishing
tien,yours
posé,laid
libérer,release
gamins,kids
taule,jail
retournez,return
médicaments,drugs
matériel,material
crâne,skull
région,region
débile,stupid
science,science
délicieux,delicious
privée,private
créature,creature
ho,ho
ed,ed
king,king
liquide,liquid
réglé,ruler
gay,gay
apprend,learn
quant,as to
péché,fishing
répéter,repeat
auprès,with
tâche,stain
devine,guess
mener,carry out
vente,sale
plu,enjoyed
joueur,player
modèle,model
aurons,will have
up,up
mensonges,lies
fermez,close
traiter,to treat
secteur,sector
soyons,let's be
barre,rod
appelée,called
projets,projects
roman,novel
veille,day before
étudier,to study
tenue,outfit
physique,physical
passait,passed
concours,competition
jaune,YELLOW
inconnu,unknown
victor,Victor
vision,vision
black,black
lentement,slowly
surface,surface
dick,dick
com,com
matt,Matt
kilomètres,kilometers
baise,fuck
x,x
sers,serve
abandonne,abandoned
vivante,alive
spéciale,special
prof,teacher
poissons,Pisces
bosser,work
cherchais,was looking for
my,my
empire,empire
cigarettes,cigarettes
amies,friends
aventure,adventure
responsabilité,responsibility
sauve,Safe
devrions,should
lucy,Lucy
atteint,reached
infirmière,nurse
humeur,mood
descendez,go down
résultats,results
tenté,tent
baisse,drop
mn,min
rare,rare
empreintes,fingerprints
proches,relatives
sauvage,savage
virer,fire
fumée,smoke
lisa,Lisa
engagé,engaged
romantique,romantic
cloche,Bell
brian,brian
magique,Magic
chers,Dear
comité,committee
choisis,choose
voila,There
jaloux,jealous
divorce,divorce
lord,lord
données,data
détective,detective
rouges,red
fred,Fred
ambulance,ambulance
rentrée,back to school
port,port
anne,anne
roy,roy
cochon,pig
enfuir,escape
devra,must
francisco,francisco
ménage,household
roger,Roger
particulier,particular
journaliste,journalist
croix,cross
pareille,similar
royaume,kingdom
disparaître,disappear
jus,juice
comte,county
sainte,holy
soucis,worries
allemagne,Germany
patience,patience
fallu,necessary
net,net
suivez,follow
panique,panic
q,q
morceaux,parts
construit,built
crédit,credit
rater,miss
normale,normal
attendait,was waiting
bye,bye
fromage,cheese
embrasse,kiss
complet,complete
bouffe,food
boutique,shop
seriez,would be
recommencer,restart
scénario,scenario
jeudi,THURSDAY
endroits,locations
brûler,burn
nommé,appointed
mardi,Tuesday
hall,lobby
réalisé,accomplished
terry,terry
passion,passion
enlevé,removed
profond,deep
télévision,television
abruti,jerk
réussir,succeed
répond,answers
red,red
emmené,taken away
cadeaux,gifts
remonter,go back up
accompagner,to accompany
johnson,Johnson
différente,different
tromper,deceive
pot,jar
lien,link
serpent,snake
imaginez,imagine
excusez,excuse
trompé,deceived
cadavre,corpse
bouton,button
cancer,cancer
descend,goes down
centaines,hundreds
poussière,dust
piscine,pool
entraînement,training
terminée,finished
tapis,carpet
esprits,spirits
phil,phil
inviter,invite
œuvre,artwork
imagination,imagination
chut,shh
park,park
existence,existence
empereur,emperor
décide,decided
eric,eric
ascenseur,elevator
criminel,criminal
révolution,revolution
principal,main
terres,land
charmante,charming
promesse,promise
période,period
craint,fears
croyait,believed
courrier,mail
récemment,recently
écran,screen
anciens,old
cris,screams
passes,passes
combattre,combat
réveille,wake up
feront,will do
élevé,pupil
têtes,heads
souffre,suffer
quiconque,anyone
malheureux,unfortunate
césar,Caesar
arrives,arrive
empêche,stop
brisé,broken
garage,garage
russie,Russia
Jackson,Jackson
bêtes,beasts
tenter,to attempt
excellente,excellent
passent,pass
ferez,will do
pub,pub
logique,logic
version,version
permet,allow
parte,leaves
temple,temple
section,section
rythme,pace
propriété,property
étrangers,foreigners
finis,finished
erreurs,errors
feriez,would do
propose,propose
examen,exam
nation,nation
approchez,approach
différentes,different
traduction,translation
reconnu,recognized
cap,cape
meurtres,murders
courageux,brave
profiter,enjoy
juré,sworn
miel,Honey
poil,hair 
rapports,reports
chic,chic
fonds,funds
aimerait,would like
sable,sand
lutte,struggle
fière,proud
is,is
japon,Japan
douze,twelve
labo,lab
ya,ya
agence,agency
cependant,However
indiens,Indian
donnera,will give
restent,remain
ceinture,belt
seins,breasts
étonnant,amazing
uns,some
nourrir,to feed
inventé,invented
sérieuse,serious
ment,is lying
pratique,practical
invite,guest
potes,friends
meurtrier,murderer
vegas,vegas
idéal,ideal
maîtresse,mistress
central,central
fume,smoke
équipage,crew
brillant,bright
trouvent,find
crie,calls out
laura,Laura
commission,commission
nager,swim
boit,drinks
bombes,bombs
figure,figure
revolver,revolver
crème,cream
rat,rat
tempête,storm
refaire,redo
née,born
supporte,supports
crever,die
conduite,conduct
lci,here
brown,brown
pure,pure
traitement,treatment
porté,door
voyait,saw
cabine,cabin
fuite,leak
nationale,national
estomac,stomach
machines,machines
julie,julie
couloir,corridor
emily,Emily
ouah,Wow
bijoux,jewelry
lâcher,let go
acteurs,actors
sentez,feel
couleurs,colors
naturel,natural
travaillait,was working
Wilson,Wilson
incendie,fire
camarades,comrades
chute,fall
accompagne,accompanied
passés,past
médecins,doctors
revenue,income
peinture,paint
reconnaître,recognize
dollar,dollar
coupez,cut
prénom,first name
puce,chip
pur,pure
prier,pray
actions,actions
voisin,neighbor
officiers,officers
prévenu,warned
chaude,hot
bains,baths
démon,demon
pierres,stones
miroir,mirror
forcément,necessarily
lumières,lights
actrice,actress
jouait,played
vérifie,checked
comportement,behavior
avoue,confess
aient,have
buvez,drink
calmer,calm
amy,Amy
technique,technical
nôtres,ours
obtenu,got
autrefois,formerly
parlera,talk to
Ryan,Ryan
boss,boss
parier,to bet
correct,correct
septembre,september
libres,free
affronter,confront
doué,gifted
appellent,call
repose,rests
conditions,terms
parfum,scent
protège,protected
tasse,cup
pensée,thought
salaire,salary
bagnole,car
infos,info
jolies,pretty
récompense,reward
kim,kim
essayons,let's try
ordinaire,ordinary
jeunesse,youth
musée,museum
bébés,babies
chuck,chuck
plaisantes,pleasant
absence,absence
aiors,aiors
échappé,escaped
fausse,false
jury,jury
étudiants,students
approcher,approach
espagne,Spain
aprés,After
blonde,blonde hair
condition,condition
race,breed
vend,sell
absurde,absurd
masque,mask
appellerai,will call
pardonner,forgive
pouvoirs,powers
laissée,left
annoncer,announce
origine,origin
el,el
apprends,learn
poitrine,chest
tape,type
remis,handed over
couvert,covered
large,wide
prenons,let's take
pressé,press
nu,naked
loup,wolf
urgent,urgent
attente,waiting
bêtises,foolery
appels,calls
mystère,mystery
travailles,work
vélo,bike
vends,sell
armé,armed
réaction,reaction
flotte,fleet
bleue,blue
foot,football
foutez,fuck
virus,virus
oeufs,eggs
élève,pupil
daniel,Daniel
êtres,beings
vengeance,revenge
stan,stan
essayais,tried
minable,shabby
cérémonie,ceremony
gordon,gordon
uniquement,uniquely
salauds,bastards
alan,Alan
froide,cold
helen,Helen
portée,scope
disque,disk
attaqué,attack
résoudre,solve
moche,ugly
scientifique,scientist
colle,glue
lady,lady
maximum,maximum
déclaration,statement
installer,install
blessés,wounded
effort,effort
iras,will go
commandement,commandment
panne,breakdown
visiter,to visit
disiez,said
venais,came
pointe,point
moque,mocks
chambres,bedrooms
convaincu,convinced
raisonnable,reasonable
aiiez,had
rencontrés,met
qualité,quality
aimée,loved
irait,would go
épousé,marry
attitude,attitude
joseph,joseph
esclave,slave
milliards,billion
guide,guide
oeuvre,artwork
humour,humor
bible,Bible
boule,ball 
sacs,bags
avocats,lawyers
yo,yo
meurent,die
connaissait,knew
union,union
ex,ex
sally,sally
blesser,hurt
taylor,taylor
maggie,maggie
perdus,lost
malades,sick
jungle,jungle
jugement,judgement
essai,essay
écrivain,writer
digne,worthy
survécu,survived
julia,julia
vérifié,checked
linda,linda
brûlé,burned
noble,noble
sauté,jumped up
gâcher,spoil
inquiet,worried
enterrement,funeral
prenne,take
site,site
engager,engage
rayon,Ray
traîner,hang out
rang,rank
traître,traitor
berlin,Berlin
parlant,speaking
orange,orange
jenny,Jenny
voudras,will want
sentais,Smelt
bourse,sotck exchange 
élèves,students
manques,shortages
faisaient,were doing
partage,sharing
légende,legend
cave,cellar
voleurs,thieves
fruits,fruits
préviens,warn
connaissent,know
venant,from
policiers,police officers
paire,pair
pommes,apples
meilleures,best
cassette,cassette
sommet,summit
remplacer,replace
objets,objects
idiots,idiots
cage,cage
saurais,would know
limite,limit
ailes,wings
explication,explanation
ô,oh
bond,jump
floride,Florida
travaillez,work
carter,carter
conseiller,advise
portait,wore
condamné,sentenced
voyant,seeing
recule,steps back
bénisse,bless
associé,partner
auteur,author
écouté,listen
sorcière,witch
edward,edward
livrer,deliver
plainte,complaint
réellement,really
albert,albert
adulte,adult
pile,stack
communauté,community
mandat,mandate
éducation,education
ramené,brings back
réponses,answers
bagarre,fight
escalier,stairs
naturellement,naturally
désire,longed for
lignes,lines
incident,incident
kilos,kilos
rats,rats
quinze,fifteen
parties,parts
véhicule,vehicle
wayne,wayne
chasser,chase
bottes,boots
objectif,objective
patients,patients
suivante,next
respecte,respect
attrapé,caught
junior,junior
colline,hill
professionnel,professional
devoirs,homework
conseils,advice
effets,effects
fichu,damn
blessure,injury
messages,posts
baby,baby
crimes,crimes
moscou,Moscow
villes,cities
voudra,will want
moto,motorbike
domaine,domain
organisation,organization
aimable,kind
forts,strong
eue,had
exercice,exercise
voyager,to travel
arrestation,arrest
fasses,do
pizza,pizza
barbe,beard
french,French
dossiers,files
tunnel,tunnel
voudrez,will want
arrivait,was coming
roses,roses
amiral,admiral
cabinet,office
mére,mother
poursuivre,pursue
forcé,strength
huile,oil
grosses,big
ranger,tidy
furieux,furious
vivait,lived
aidera,will help
géant,giant
tim,tim
tours,towers
retire,took of
vote,vote
autorisation,authorisation
risqué,risk
hitler,Hitler
rond,round
show,show
territoire,territory
venger,revenge
exprès,on purpose
tuerai,will kill
anges,angels
classique,classic
soutien,support
rentres,come back
tokyo,tokyo
proposition,proposal
love,love
tests,tests
pétrole,oil
réaliser,realize
sortira,will come out
soirs,evenings
ministère,ministry
magazine,magazine
verres,glasses
échec,failure
vieilles,old
pourrions,could
bol,bowl
plaire,to please
miller,miller
respecter,respect
cons,idiots
golf,golf
bibliothèque,library
attirer,attract
drapeau,flag
possède,possesses
production,production
conférence,conference
efforts,efforts
pere,father
putains,whores
précieux,precious
religion,religion
rêver,dream
épreuve,test
retenir,retain
football,soccer
Frankie,Frankie
échoué,failed
pisser,piss
Barry,Barry
sortes,kinds
circonstances,circumstances
kong,Kong
mignonne,cute
excellence,Excellency
auto,car
do,do
vague,wave
arrêtes,stop
nôtre,OUR
vallée,valley
Morgan,Morgan
enterré,buried
tandis,while
duc,duke
pêre,father
assassiné,murdered
ooo,ooo
charme,charm
quart,quarter
arrangé,arranged
guitare,guitar
remplir,fill
Sophie,Sophie
crève,die
Jesse,Jesse
Bruce,Bruce
Sara,Sarah
refuser,refuse
donnent,give
Luke,Luke
taper,type
critique,critical
secrète,secret
terminer,to end
hauteur,height
comédie,comedy
cimetière,graveyard
baisé,fucked
cardiaque,cardiac
Catherine,Catherine
chiffres,numbers
fêter,to celebrate
trouverez,will find
indien,Indian
altesse,highness
occupée,busy
intelligente,intelligent
culture,culture
deviner,guess
géniale,awesome
limites,boundaries
Nancy,Nancy
précis,accurate
éternité,eternity
ball,ball
plateau,plateau
prises,taken
viendrai,will come
rempli,completed
clairement,clearly
intérêts,interests
langage,language
aides,helpers
feux,lights
Betty,Betty
copie,copy
profondément,deeply
fâché,angry
incapable,unable
mercredi,Wednesday
souffrance,suffering
avouer,to confess to
mile,mile
posez,pose
lion,lion
ali,ali
soigner,cure
fenêtres,Windows
pue,stinks
électrique,electric
italien,Italian
traversé,crossed
réception,reception
énerve,irritated
rentrons,let's go back
couvrir,cover
fonce,dark
Harvey,Harvey
Kyle,Kyle
produits,products
loyer,rent
grace,grace
bleus,blue
assistant,assistant
cervelle,brain
trente,thirty
yeah,yeah
saches,know
national,national
avenue,avenue
evidemment,obviously
reçois,receive
cité,quoted
liaison,connection
prouve,prove
collier,necklace
aprês,After
séance,session
placard,closet
criminels,criminals
irais,would go
riz,rice
sandwich,sandwich
boston,Boston
parlerai,will speak
places,places
stade,stadium
gagnant,winner
moral,moral
tendre,tender
fleuve,river
mêre,mother
stanley,stanley
trouvait,found
auparavant,previously
personnellement,personally
fièvre,fever
champs,fields
tuera,will kill
chatte,cat
actes,actions
restait,remained
amant,lover
concernant,concerning
las,the ace
ferons,will do
cherchent,they search
tenait,held
exécution,execution
ann,ann
lou,lou
pédé,faggot
prière,pray
hélas,Alas
sortent,go out
bateaux,boats
allaient,were going
durer,last
assise,seated
alarme,alarm
commencez,start
furent,were
prenait,taking
brad,brad
entièrement,entirely
médecine,medicine
juillet,July
sortis,out
sensible,sensitive
poudre,powder
finale,final
plais,pleases
durs,hard
discussion,discussion
séparer,to separate
esclaves,slaves
instructions,instructions
beurre,butter
documents,documents
taré,tare
rick,rick
détail,detail
baron,baron
mettent,put
congrès,Congress
épaule,shoulder
poison,poison
final,final
métro,Metro
attendrai,will wait
serment,oath
chan,chan
pardonne,forgiven
espagnol,Spanish
supérieur,superior
w,w
degrés,degrees
rires,laughter
west,west
parker,Parker
tuez,kill
œufs,eggs
fiancé,fiance
nerfs,nerves
portefeuille,wallet
robot,robot
internet,Internet
expert,expert
hank,hank
surveillance,monitoring
foutue,fucked up
rita,rita
réalisateur,director
entraîner,train
martha,Martha
descendu,descended
patrick,Patrick
comté,county
congé,leave
finira,will end
caméras,cameras
sauce,sauce
balance,balance
destruction,destruction
moderne,modern
Carlos,Carlos
extrêmement,extremely
âmes,souls
expression,expression
marchera,will walk
commerce,trade
ivre,drunk
salopard,bastard
appétit,appetite
dette,debt
all,all
promener,to take a walk
employés,employees
admettre,admit
producteur,producer
attendons,let's wait
quittez,leave
brise,broken
wow,wow
juin,June
chats,cats
remets,put back
ajouter,add
couler,to flow
Pasteur,Pastor
alliez,were going
portrait,portrait
heu,uh
by,by
lancé,spear
diamants,diamonds
donnée,given
avantage,advantage
fidèle,faithful
juger,judge
renseignements,information
gang,gang
loué,rented
réseau,network
ouverture,opening
travaux,works
poussé,pushed
division,division
invitation,invitation
repartir,to share out
trous,holes
rappelez,remind
totale,total
solide,solid
réservé,reserve
Willie,Willie
autorité,authority
fermée,closed
munitions,ammunition
neveu,nephew
diras,will say
téléphoner,call
briser,to break
siècles,centuries
nerveuse,nervous
bonbons,candy
blé,wheat
pourri,rotten
puits,well
fantômes,ghosts
termine,finished
monstres,monsters
écraser,crush
espérons,hope
bétail,cattle
miens,mine
changera,will change
adultes,adults
restée,remained
total,total
fierté,pride
pari,bet
sein,breast
cessez,stop
Elizabeth,Elizabeth
exige,required
étudiant,student
Jackie,Jackie
démarre,started
lâchez,let go
Marty,Marty
passons,let's move on
vic,vic
semblez,seem
gérer,manage
électricité,electricity
invitée,guest
injuste,unfair
désirez,desire
lampe,lamp
normalement,Normally
causer,cause
dalle,slab
mondiale,worldwide
comptez,count
rouler,to roll
filmer,film
rapporte,reports
sourd,deaf
trouveras,will find
alliance,alliance
convient,agrees
rage,rage
habitants,residents
Mamie,Granny
nuages,clouds
hmm,Hmm
trahi,betrayed
biens,goods
Lewis,Lewis
tournage,filming
créatures,creatures
militaires,military
blessures,injuries
barbara,barbara
Louise,Louise
règlement,regulation
grant,grant
étudié,studied
courez,run
habiller,dress
soeurs,sisters
soins,care
célibataire,Single
veuve,widow
Canada,Canada
dépêche,dispatch
progrès,progress
dégoûtant,disgusting
fan,fan
matière,matter
avril,april
molly,molly
cercle,circle
Davis,Davis
nucléaire,nuclear
pervers,pervert
échelle,ladder
adorer,love
trouvais,found
orchestre,orchestra
déposer,deposit
cadavres,corpses
échappe,escape
emprunter,borrow
exprimer,express
caractère,character
libéré,released
signes,signs
fêtes,holidays
vedette,featured
lisez,read
commençons,let's start
robin,robin
généreux,generous
méchants,bad guys
formation,training
bâton,stick
timide,shy
gentils,friendly
premières,firsts
passagers,passengers
immense,immense
serviette,towel
mangez,eat
diriger,direct
passant,passing
Ruth,Ruth
min,min
préférée,favorite
perdez,lose
plaque,plate
espion,spy
connue,known
eaux,waters
deviennent,become
emporter,take away
Gary,Gary
cruel,cruel
citoyens,citizens
von,von
tension,tension
ranch,ranch
Karen,Karen
business,business
your,your
organiser,organize
étonne,surprised
terroristes,terrorists
that,that
micro,microphone
ordure,junk
léger,light
température,temperature
unités,units
populaire,popular
joueurs,players
beth,beth
vincent,Vincent
voies,ways
regardais,looked
saloperie,slut
traverse,crosses
intelligence,intelligence
expériences,experiences
Miami,Miami
opérations,operations
santa,santa
arrange,arrange
dragon,dragon
sûrs,safe
enterrer,bury
pouviez,could
craindre,to fear
mortel,deadly
issue,issue
demeure,remains
mouche,fly 
donna,donna
octobre,october
commandé,order
passeport,passport
dés,of the
couronne,crown
oublierai,will forget
accusation,charge
procédure,procedure
rendez,go
objection,objection
retourné,return
relax,Relax
publique,public
appart,apartment
imagines,imagine
jouent,are playing
inde,India
travaillent,working
essaies,try
Lincoln,Lincoln
psy,psychologist
Vince,Vince
manuel,manual
étranges,strange
apres,After
nombreuses,many
crainte,fear
fit,fit
asile,asylum
cherchait,was looking for
branche,branch
groupes,groups
white,white
hop,hop
tradition,tradition
sel,salt
centrale,central
déçu,disappointed
tentative,attempt
négatif,negative
autorités,authorities
buter,abut
connerie,bullshit
proposé,propose
manières,manners
plaindre,complain
employé,employee
blessée,injured
influence,influence
forcer,force
bonté,goodness
Marcus,Marcus
CIA,CIA
sauvages,wild
personnelle,personal
couvre,covers
coucou,cuckoo
audience,hearing
out,out
savaient,knew
entretien,interview
bouffer,eat
ouai,yeah
impressionnant,impressive
acier,steel
renvoyer,send back
salade,salad
collègues,colleagues
chefs,chefs
guérir,heal
entendue,heard
sœurs,sisters
êtait,was
semblent,seem
participer,participate
coule,flows
dépasse,exceeds
réunis,reunited
plairait,would please
enlevez,remove
trompes,tubes
résister,resist
technologie,technology
patrie,country
conséquences,consequences
Margaret,Margaret
cousine,cousin
habits,clothes
splendide,splendid
Ross,Ross
pipe,pipe
abattu,beaten down
cran,notch
nue,naked
tuyau,pipe 
accueillir,to welcome
découverte,discovery
arracher,to tear out
régime,diet
reçoit,receives
album,album
levez,get up
piqué,dived
original,original
remise,discount
allume,alight
promotion,promotion
juan,juan
examiner,examine
franc,franc
filé,spun
éteint,extinct
canapé,couch
commander,order
dessin,drawing
guère,hardly
interroger,question
oscar,Oscar
paraître,appear
découvre,discover
département,department
vise,aims
obéir,obey
renforts,reinforcements
lily,Lily
événements,events
innocents,innocent
ç,vs
organisé,organized
sain,healthy
devras,will have to
reprends,resume
goutte,drop
cole,cole
souffert,suffered
excitant,exciting
façons,manners
saurai,will know
charlotte,charlotte
sou,penny
réveil,awakening
ken,ken
benny,benny
usa,USA
volée,stolen
préférerais,would prefer
suprême,supreme
tarte,pie
changent,change
revienne,come back
solitaire,lonely
cravate,tie
rocky,rocky
vérifiez,check
ose,dare
souper,supper
événement,event
remarque,REMARK
chevalier,knight
suffisamment,enough
charger,load
produire,produce
repris,taken back
record,record
carol,carol
williams,williams
jo,jo
préparez,prepare
garce,bitch
mêle,mixes
étape,stage
motel,motel
pro,pro
autorisé,allowed
principale,main
clinique,clinical
devenus,become
italie,Italy
intéressante,interesting
jonathan,Jonathan
abattre,fell
ère,time
invisible,invisible
dégâts,damage
clark,clark
élever,raise
suggère,suggests
rigole,laugh
dent,tooth
éclater,to burst
tabac,tobacco
disques,discs
manquait,missing
contacter,contact
valait,was worth
fusils,guns
émotions,emotions
queje,that I
publicité,advertisement
simples,simple
éléments,elements
exception,exception
sincère,sincere
rattraper,catch up
efficace,effective
éteindre,turn off
linge,laundry
goûter,to taste
nathan,nathan
possibilité,possibility
canard,duck
marqué,brand
caporal,corporal
déplacer,move
devrez,will have to
morale,moral
insiste,insists
katie,Katie
parking,car park
identifier,identify
pouvaient,could
personnages,characters
cabane,hut
intéressé,interested
stylo,pen
adoré,loved
attaché,attached
cri,shout
kg,kg
angle,corner
séparés,separated
traîne,dragged
instinct,instinct
déclaré,declared
sire,sire
pleut,rain
séjour,stay
ordures,garbage
Raymond,Raymond
délire,delirium
pires,worst
rumeurs,rumors
fauteuil,armchair
coûté,cost
adjoint,assistant
Stephen,Stephen
collègue,colleague
one,one
poches,pockets
novembre,november
illégal,illegal
restons,let's stay
bonhomme,fellow
appuie,supports
difficiles,difficult
laissera,will leave
courte,short
lâ,there
tuent,kill
lot,batch
levé,survey
seules,alone
vivez,live
personnalité,personality
leo,Leo
scandale,scandal
conclu,concluded
frigo,fridge
admire,admire
aïe,Ouch
tragédie,tragedy
oblige,obliged
commandes,orders
pénis,penis
boue,mud
dettes,debts
enseigne,taught
obscurité,darkness
pages,pages
chapitre,chapter
violent,violent
signature,signature
conseille,advises
vendeur,seller
visages,faces
rarement,rarely
essayait,was trying
serré,tight
mères,mothers
tels,such
halte,stop
collection,collection
désastre,disaster
noix,nut
mourra,will die
rejoins,join
reconnaissance,acknowledgement
blagues,jokes
duke,duke
méthode,method
bienvenu,welcome
donnait,gave
gratuit,free
boîtes,boxes
marches,steps
Brooklyn,Brooklyn
valises,suitcases
enfermé,shut in
gants,gloves
rompu,broken
coïncidence,coincidence
vilain,naughty
poing,fist
britannique,British
dispute,dispute
trahison,treason
téléphoné,phone
août,august
feuilles,leaves
quatrième,fourth
révérend,reverend
censée,supposed
devaient,were to
placé,place
ténèbres,darkness
enfui,ran away
impliqué,implied
vire,fired
pilules,pills
préfères,prefer
for,for
population,population
manges,eat
pleuré,cry
chasseur,hunter
livraison,delivery
reprend,resumes
emporte,take away
louer,to rent out
mette,put
bizarres,weird
torture,torture
remarquable,outstanding
termes,terms
journalistes,journalists
honnêtement,honestly
câble,cable
longs,long
estime,estimated
démons,demons
impôts,taxes
massacre,massacre
pomme,apple
autoroute,highway
sociale,social
moyenne,average
ingénieur,engineer
doug,Doug
péchés,sins
laissent,let
tarder,delay
divine,Divine
éloigner,remove
clan,clan
obligée,obliged
xena,xena
merveille,wonder
concentrer,focus
venons,let's come
opéra,opera
oxygène,oxygen
sexuel,sexual
industrie,industry
aimerai,would like
z,z
sortons,let's go out
accent,accent
lawrence,lawrence
gris,gray
sean,sean
mesures,measures
batterie,battery
toast,toast
postes,positions
communication,communication
manche,sleeve
grandir,to grow
banques,banks
tonnes,tons
gentleman,gentleman
zut,Damn
numéros,numbers
officiel,official
chariot,cart
otages,hostages
prime,prime
poésie,poetry
annuler,Cancel
jersey,Jersey
chagrin,grief
ellen,Ellen
déconne,mess around
fabuleux,fabulous
dennis,dennis
complexe,complex
trafic,traffic
trouille,funk
us,us
débrouiller,sort out
commencent,begin
cinquante,fifty
vraies,true
discute,discuss
communiste,Communist
francs,francs
sacrifice,sacrifice
française,French
foie,liver
statue,statue
résistance,resistance
mettra,will put
volontiers,gladly
drogues,drugs
cercueil,coffin
pendu,hanged
ignorer,ignore
tireur,shooter
eut,had
piquer,sting
creuser,dig
médaille,medal
crée,creates
équipement,equipment
phase,phase
chaos,chaos
salue,greet
survie,survival
défi,challenge
trouvés,found
rencontrée,met
boum,boom
longues,long
telles,such
arriverai,will arrive
gâché,spoils
harris,Harris
brigade,brigade
fiers,proud
ennuyeux,boring
cieux,heavens
contient,contains
aile,wing
oignons,onions
vaches,cows
sensation,sensation
chanceux,lucky
angela,angela
gamine,kid
cooper,cooper
cessé,stopped
tina,tina
ressemblait,looked like
plante,plant
scènes,scenes
solitude,solitude
activité,activity
mobile,mobile
principe,principle
rejoint,joined
économie,economy
armés,armed
plastique,plastic
regardent,look
chant,singing
verte,green
couru,ran
regardait,looked
ford,Ford
besoins,needs
terroriste,terrorist
assister,to assist
bail,lease
roue,wheel
putes,whores
sachez,know
harold,Harold
amenez,bring
génération,generation
causé,cause
entraîneur,coach
rigoles,laughs
amanda,amanda
présenté,present
trompez,deceive
mordu,bitten
vampire,vampire
jacques,jacques
fans,fans
bourré,stuffed
éliminer,eliminate
enfoirés,bastards
freddy,freddy
bloc,block
pourvu,provided
décisions,decisions
eve,Eve
jacob,jacob
symbole,symbol
croirait,would believe
sagesse,wisdom
politiques,policies
taux,rate
nègre,Negro
jetez,throw away
malédiction,curse
masse,mass
phrase,sentence
pompes,pumps
reconnaissant,grateful
pension,pension
renoncer,give up
sexuelle,sexual
regardant,looking
ordonne,ordered
four,oven
règne,reign
saut,leap
terreur,terror
avaler,swallow
ongles,nails
pratiquement,practically
laissons,let's leave
jalouse,jealous
outils,tools
espérer,hope
